tournament,year,stage,date,home_team,home_score,away_team,away_score,neutral
1998 FIFA Men's World Cup,1998,Group F,1998-06-25,Germany,2,Iran,0,1
1998 FIFA Men's World Cup,1998,Group F,1998-06-25,United States,0,Yugoslavia,1,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-26,Colombia,0,England,2,1
1998 FIFA Men's World Cup,1998,Group G,1998-06-26,Romania,1,Tunisia,1,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-26,Argentina,1,Croatia,0,1
1998 FIFA Men's World Cup,1998,Group H,1998-06-26,Japan,1,Jamaica,2,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-27,Brazil,4,Chile,1,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-27,Italy,1,Norway,0,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-28,France,1,Paraguay,0,0
1998 FIFA Men's World Cup,1998,round of 16,1998-06-28,Nigeria,1,Denmark,4,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-29,Germany,2,Mexico,1,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-29,Netherlands,2,Yugoslavia,1,1
1998 FIFA Men's World Cup,1998,round of 16,1998-06-30,Argentina,2,England,2,1
